Term,Session,Bidding Window,Course Code,Description,Section,Vacancy,Opening Vacancy,Before Process Vacancy,D.I.C.E,After Process Vacancy,Enrolled Students,Max Bid,Median Bid,Min Bid,Instructor,School/Department
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT102,Management Accounting,SG1,3,0,0,0,0,1,0.00,0.00,0.00,JIMMY LEE KIAT BEE,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT111,Financial Accounting,G1,45,45,12,0,12,33,0.00,0.00,0.00,LOW LAY CHIN,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT111,Financial Accounting,G2,45,45,11,0,11,34,0.00,0.00,0.00,GOH BENG WEE,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT111,Financial Accounting,G3,45,45,11,0,11,34,0.00,0.00,0.00,GOH BENG WEE,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT111,Financial Accounting,G4,45,45,12,0,12,33,0.00,0.00,0.00,GOH BENG WEE,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT111,Financial Accounting,G5,45,45,11,0,11,34,0.00,0.00,0.00,GOH BENG WEE,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G1,45,45,8,0,8,37,0.00,0.00,0.00,LEONG KWONG SIN,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G2,45,45,2,0,2,43,0.00,0.00,0.00,LEONG KWONG SIN,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G3,45,45,3,0,3,42,0.00,0.00,0.00,LEONG KWONG SIN,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT112,Management Accounting,G4,45,45,7,0,7,38,0.00,0.00,0.00,LEONG KWONG SIN,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G1,45,45,19,0,17,28,15.88,15.88,15.88,CHEN CHIH-YING,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G2,45,45,17,0,17,28,0.00,0.00,0.00,CHEN CHIH-YING,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G3,45,45,22,0,22,23,0.00,0.00,0.00,CHEN CHIH-YING,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G4,45,45,11,0,11,34,0.00,0.00,0.00,CHEN XIA,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G6,45,45,12,0,12,33,0.00,0.00,0.00,CHEN XIA,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G7,45,45,0,0,0,45,0.00,0.00,0.00,WANG JIWEI,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,G8,45,45,7,0,7,38,0.00,0.00,0.00,WANG JIWEI,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT201,Corporate Reporting and Financial Analysis,SG1,3,0,0,0,0,1,0.00,0.00,0.00,JEFFREY NG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G1,45,45,0,0,0,45,0.00,0.00,0.00,"PAN SHAN CHI, GARY",SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G2,45,45,1,0,1,44,0.00,0.00,0.00,"PAN SHAN CHI, GARY",SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G3,45,45,10,0,10,35,0.00,0.00,0.00,THEMIN SUWARDY,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G4,45,45,10,0,10,35,0.00,0.00,0.00,THEMIN SUWARDY,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT221,Accounting Information Systems,G5,45,45,13,0,13,32,0.00,0.00,0.00,THEMIN SUWARDY,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT222,Corporate Reporting and Financial Analysis,G1,45,45,9,0,9,36,0.00,0.00,0.00,WANG JIWEI,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT222,Corporate Reporting and Financial Analysis,SG1,3,0,0,0,0,1,0.00,0.00,0.00,ANDREW LEE,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G1,44,44,0,0,0,44,0.00,0.00,0.00,KHOO TENG AUN,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G2,44,44,1,0,1,43,0.00,0.00,0.00,KHOO TENG AUN,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G3,44,44,0,0,0,44,0.00,0.00,0.00,SUM YEE LOONG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT223,Taxation,G4,44,44,1,0,1,43,0.00,0.00,0.00,KHOO TENG AUN,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT224,Financial Reporting and Analysis,G1,45,45,12,0,12,33,0.00,0.00,0.00,ANDREW LEE,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT224,Financial Reporting and Analysis,G2,45,45,23,0,23,22,0.00,0.00,0.00,ANDREW LEE,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT224,Financial Reporting and Analysis,G3,45,45,11,0,11,34,0.00,0.00,0.00,ANDREW LEE,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT224,Financial Reporting and Analysis,G4,45,45,15,0,15,30,0.00,0.00,0.00,ANDREW LEE,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT331,Audit and Assurance,G1,45,45,0,0,0,45,0.00,0.00,0.00,JEAN SEOW,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT331,Audit and Assurance,G2,46,46,0,0,0,46,0.00,0.00,0.00,JEAN SEOW,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT331,Audit and Assurance,G3,46,46,0,0,0,46,0.00,0.00,0.00,JEAN SEOW,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT331,Audit and Assurance,G4,45,45,0,0,0,45,0.00,0.00,0.00,JEAN SEOW,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT331,Audit and Assurance,SG1,3,3,1,0,1,2,0.00,0.00,0.00,JEAN SEOW,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT331,Audit and Assurance,SG2,1,0,0,0,0,1,0.00,0.00,0.00,FOO SEE LIANG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT332,Accounting Thought and Practice,G1,45,45,16,0,16,29,0.00,0.00,0.00,CHENG QIANG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT332,Accounting Thought and Practice,G2,45,45,6,0,6,39,0.00,0.00,0.00,CHENG QIANG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT332,Accounting Thought and Practice,G3,45,45,12,0,12,33,0.00,0.00,0.00,NEIL BHATTACHARYA,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT332,Accounting Thought and Practice,G4,45,45,9,0,9,36,0.00,0.00,0.00,NEIL BHATTACHARYA,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT333,Advanced Financial Accounting,G1,45,45,10,0,10,35,0.00,0.00,0.00,PEARL TAN HOCK NEO,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT333,Advanced Financial Accounting,G2,45,45,10,0,10,35,0.00,0.00,0.00,PEARL TAN HOCK NEO,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT333,Advanced Financial Accounting,G3,45,45,12,0,12,33,0.00,0.00,0.00,PEARL TAN HOCK NEO,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT333,Advanced Financial Accounting,G4,45,45,6,0,6,39,0.00,0.00,0.00,PEARL TAN HOCK NEO,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT333,Advanced Financial Accounting,SG1,1,1,0,0,0,1,0.00,0.00,0.00,PEARL TAN HOCK NEO,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT401,Strategic Management Accounting,G1,45,45,12,0,12,33,0.00,0.00,0.00,,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT401,Strategic Management Accounting,G2,45,45,3,0,3,42,0.00,0.00,0.00,,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT401,Strategic Management Accounting,G3,45,45,5,0,5,40,0.00,0.00,0.00,,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT402,Governance and Risk Management,G1,45,45,2,0,2,43,0.00,0.00,0.00,FOO SEE LIANG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT402,Governance and Risk Management,G2,45,45,0,0,0,45,0.00,0.00,0.00,FOO SEE LIANG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT402,Governance and Risk Management,G3,45,45,0,0,0,45,0.00,0.00,0.00,FOO SEE LIANG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT402,Governance and Risk Management,SG1,3,3,2,0,2,1,0.00,0.00,0.00,FOO SEE LIANG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT403,Advanced Taxation,G1,45,45,0,0,0,45,0.00,0.00,0.00,SUM YEE LOONG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT403,Advanced Taxation,G2,45,45,0,0,0,45,0.00,0.00,0.00,SUM YEE LOONG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT404,"Accounting Study Mission(Mumbai, Pune & New Delhi)",G1,26,26,0,0,0,26,0.00,0.00,0.00,"LOW AIK MENG, LOW AIK MENG, LOW AIK MENG",SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT405,Corporate Advisory,G1,45,45,7,0,7,38,0.00,0.00,0.00,SOA INSTRUCTOR (CORPORATE ADVISORY),SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT407,Corporate Financial Management,G1,45,45,12,0,12,33,0.00,0.00,0.00,GURDIP SINGH,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT407,Corporate Financial Management,G2,45,45,16,0,15,30,10.00,10.00,10.00,GURDIP SINGH,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT408,Valuation,G2,45,45,27,0,27,18,0.00,0.00,0.00,LIM CHU YEONG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT409,Auditing for the Public Sector,G1,45,45,12,0,12,33,0.00,0.00,0.00,LIM SOO PING,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACCT410,Internal Audit,G1,45,45,15,0,15,30,0.00,0.00,0.00,FOO SEE LIANG,SOA
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ACM002,Arts Leadership,G1,45,45,0,0,0,45,0.00,0.00,0.00,TAY TONG,SOSS
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ARTS004,Drama and Scriptwriting,G1,45,45,0,0,0,45,0.00,0.00,0.00,MARGARET CHAN,SOSS
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ARTS007,Society and Culture in Film,G1,45,45,2,0,0,45,20.99,15.50,10.01,MARGARET CHAN,SOSS
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ASIA100,Asia Foundation Seminar,G1,22,0,0,0,0,22,0.00,0.00,0.00,HOON CHANG YAU,SOSS
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G1,30,30,0,0,0,30,0.00,0.00,0.00,SHYAMALA DEENATHAYALAN,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G10,30,30,0,0,0,30,0.00,0.00,0.00,AUDREY TOH LIN LIN,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G11,30,30,0,0,0,30,0.00,0.00,0.00,BHAROTI PANDE,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G12,30,30,0,0,0,30,0.00,0.00,0.00,BHAROTI PANDE,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G13,30,30,0,0,0,30,0.00,0.00,0.00,BHAROTI PANDE,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G14,30,30,0,0,0,30,0.00,0.00,0.00,DAISY TEH,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G15,30,30,0,0,0,30,0.00,0.00,0.00,DAISY TEH,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G16,30,30,0,0,0,30,0.00,0.00,0.00,DAISY TEH,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G17,30,30,0,0,0,30,0.00,0.00,0.00,GWENDOLINE ANNE LIM SIU KIAO,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G18,30,30,0,0,0,30,0.00,0.00,0.00,GWENDOLINE ANNE LIM SIU KIAO,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G19,30,30,1,0,1,29,0.00,0.00,0.00,FAROOQ JAMIL ALVI,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G2,30,30,0,0,0,30,0.00,0.00,0.00,SHYAMALA DEENATHAYALAN,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G20,30,30,0,0,0,30,0.00,0.00,0.00,FAROOQ JAMIL ALVI,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G21,30,30,0,0,0,30,0.00,0.00,0.00,SUMATHI KRISHNA,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G22,30,30,0,0,0,30,0.00,0.00,0.00,SUMATHI KRISHNA,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G23,30,30,0,0,0,30,0.00,0.00,0.00,SUMATHI KRISHNA,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G24,30,30,0,0,0,30,0.00,0.00,0.00,VANDANA ADVANI,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G25,30,30,0,0,0,30,0.00,0.00,0.00,VANDANA ADVANI,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G26,30,30,0,0,0,30,0.00,0.00,0.00,SHYAMALA DEENATHAYALAN,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G27,30,30,0,0,0,30,0.00,0.00,0.00,MEHDI NAMAZIE,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G28,30,30,0,0,0,30,0.00,0.00,0.00,SIMONE CECILE VAZ,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G29,30,30,2,0,2,28,0.00,0.00,0.00,HO JACK YONG,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G3,30,30,0,0,0,30,0.00,0.00,0.00,MEHDI NAMAZIE,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G30,30,30,0,0,0,30,0.00,0.00,0.00,SERENA LIM,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G31,30,30,0,0,0,30,0.00,0.00,0.00,SERENA LIM,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G32,30,30,0,0,0,30,0.00,0.00,0.00,SUMATHI KRISHNA,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G4,30,30,0,0,0,30,0.00,0.00,0.00,SIMONE CECILE VAZ,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G5,30,30,0,0,0,30,0.00,0.00,0.00,AUDREY TOH LIN LIN,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G6,30,30,0,0,0,30,0.00,0.00,0.00,AKANKSHA RATH,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G7,30,30,0,0,0,30,0.00,0.00,0.00,AKANKSHA RATH,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G8,30,30,0,0,0,30,0.00,0.00,0.00,AUDREY TOH LIN LIN,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM101,Management Communication,G9,30,30,0,0,0,30,0.00,0.00,0.00,AUDREY TOH LIN LIN,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM102,Foundations in Corporate Communication,G1,45,45,2,0,2,43,0.00,0.00,0.00,MARK CHONG YIEW KIM,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM102,Foundations in Corporate Communication,G2,45,45,6,0,6,39,0.00,0.00,0.00,MARK CHONG YIEW KIM,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM102,Foundations in Corporate Communication,G3,45,45,3,0,1,44,18.88,14.59,10.30,CHUNG SIYOUNG,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM102,Foundations in Corporate Communication,G4,45,45,0,0,0,45,0.00,0.00,0.00,MARK CHONG YIEW KIM,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM120,Intercultural Communication,G1,45,45,0,0,0,46,0.00,0.00,0.00,ONG SIOW HENG,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM225,Public Relations Writing,G1,45,45,2,0,1,44,10.00,10.00,10.00,ROBERT CONCEICAO,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM245,Organizational Communication: A Leadership Instrument,G1,45,45,1,0,1,44,0.00,0.00,0.00,CHUNG SIYOUNG,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM246,Risk Issues and Crisis Management,G1,46,46,1,0,1,45,0.00,0.00,0.00,LEESA SOULODRE,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM330,Persuasion: The Business of Influence,G1,45,45,1,0,1,44,0.00,0.00,0.00,"SUSHEELA VARGHESE, SUSHEELA VARGHESE",LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM346,New Media and Organisations,G1,45,45,0,0,0,46,0.00,0.00,0.00,CHUNG SIYOUNG,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,COMM346,New Media and Organisations,G2,45,45,0,0,0,45,0.00,0.00,0.00,CHUNG SIYOUNG,LKCSOB
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON001,Introductory Economics,G1,45,45,0,0,0,45,0.00,0.00,0.00,BRISHTI GUHA,SOE
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON001,Introductory Economics,G10,45,45,2,0,2,43,0.00,0.00,0.00,LARRY HAVERKAMP,SOE
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON001,Introductory Economics,G2,45,45,1,0,1,44,0.00,0.00,0.00,BRISHTI GUHA,SOE
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON001,Introductory Economics,G3,45,45,3,0,3,42,0.00,0.00,0.00,BRISHTI GUHA,SOE
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON001,Introductory Economics,G4,45,45,3,0,3,42,0.00,0.00,0.00,CHRISTINE HO,SOE
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON001,Introductory Economics,G5,45,45,2,0,2,43,0.00,0.00,0.00,CHRISTINE HO,SOE
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON001,Introductory Economics,G6,45,45,3,0,3,42,0.00,0.00,0.00,SEONGHOON KIM,SOE
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON001,Introductory Economics,G7,45,45,0,0,0,45,0.00,0.00,0.00,LARRY HAVERKAMP,SOE
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON001,Introductory Economics,G8,45,45,3,0,3,42,0.00,0.00,0.00,LARRY HAVERKAMP,SOE
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON001,Introductory Economics,G9,45,45,0,0,0,45,0.00,0.00,0.00,LARRY HAVERKAMP,SOE
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON001,Introductory Economics,SG91,3,0,0,0,0,1,0.00,0.00,0.00,"YEO JUNGWON, YEO JUNGWON",SOE
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON101,Intermediate Microeconomics,G1,45,45,19,0,19,26,0.00,0.00,0.00,"MASSIMILIANO LANDI, MASSIMILIANO LANDI",SOE
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON101,Intermediate Microeconomics,G2,45,45,4,0,4,41,0.00,0.00,0.00,"MASSIMILIANO LANDI, MASSIMILIANO LANDI",SOE
2013-14 Term 1,Regular Academic Session,Round 2A Window 3,ECON102,Intermediate Macroeconomics,G1,45,45,0,0,0,45,0.00,0.00,0.00,ZHANG HAIPING,SOE
